championId,p_val,mean_diff,mean_svm,mean_rand,std_svm,std_rand
497,0.0,0.10299999999999998,0.699,0.596,0.05071,0.05116
163,1e-05,0.08460999999999996,0.55692,0.47231,0.09918,0.07996
126,1e-05,0.08295999999999998,0.58,0.49704,0.07243,0.09996
7,1e-05,0.08727000000000001,0.55091,0.46364,0.1019,0.08624
98,1e-05,0.06391000000000002,0.67478,0.61087,0.07391,0.05756
77,3e-05,0.06400000000000006,0.67556,0.61156,0.07083,0.0736
18,3e-05,0.03809999999999991,0.65016,0.61206,0.04756,0.03812
81,4e-05,0.03584999999999994,0.57019,0.53434,0.04634,0.03564
133,7e-05,-0.07143,0.66762,0.73905,0.08597,0.0837
50,0.00017,-0.031750000000000056,0.52103,0.55278,0.03543,0.04446
154,0.00021,0.05025999999999997,0.59026,0.54,0.06333,0.06595
31,0.00046,-0.047900000000000054,0.64977,0.69767,0.06452,0.06627
29,0.00054,-0.040000000000000036,0.62059,0.66059,0.05423,0.05641
136,0.00068,0.07857000000000003,0.47143,0.39286,0.13553,0.07857
20,0.00071,-0.07,0.40818,0.47818,0.09685,0.10133
10,0.00122,-0.06556000000000006,0.54111,0.60667,0.1053,0.08878
33,0.00155,-0.04061999999999999,0.6625,0.70312,0.06374,0.0597
142,0.00194,0.038370000000000015,0.63102,0.59265,0.05856,0.06067
83,0.00291,-0.04571999999999998,0.68857,0.73429,0.07321,0.07497
91,0.00341,-0.03837999999999997,0.65784,0.69622,0.06612,0.06033
48,0.0043,-0.04550999999999994,0.62897,0.67448,0.08234,0.07139
25,0.00522,0.02104000000000006,0.72875,0.70771,0.03602,0.03688
112,0.00528,-0.039999999999999925,0.56903,0.60903,0.07406,0.0644
36,0.00556,-0.03429000000000004,0.76952,0.80381,0.0605,0.0592
223,0.00567,0.028299999999999992,0.72415,0.69585,0.05362,0.04507
131,0.00773,-0.028569999999999984,0.64,0.66857,0.0523,0.05169
236,0.00937,-0.028569999999999984,0.55013,0.5787,0.04988,0.05662
114,0.01025,0.030409999999999937,0.53333,0.50292,0.06009,0.05481
57,0.01054,0.04132999999999998,0.56533,0.524,0.06927,0.08668
254,0.0113,-0.033499999999999974,0.6045,0.638,0.06318,0.06524
122,0.01199,0.02351000000000003,0.59108,0.56757,0.04719,0.04366
115,0.01225,-0.03532999999999997,0.61067,0.646,0.07163,0.06528
2,0.01583,0.03600000000000003,0.7456,0.7096,0.06917,0.07581
3,0.01598,-0.026150000000000007,0.58308,0.60923,0.04574,0.05902
106,0.01622,-0.03538000000000008,0.62667,0.66205,0.07557,0.06739
30,0.0173,0.05175999999999992,0.58588,0.53412,0.0911,0.11872
420,0.02306,-0.02525999999999995,0.73579,0.76105,0.05288,0.05541
41,0.02385,-0.024930000000000008,0.55415,0.57908,0.05678,0.05054
164,0.02477,-0.02754000000000001,0.57321,0.60075,0.06234,0.05715
37,0.06445,-0.020000000000000018,0.66491,0.68491,0.0545,0.05132
6,0.07119,-0.020649999999999946,0.76258,0.78323,0.06009,0.05163
79,0.07156,0.03473999999999999,0.62632,0.59158,0.10434,0.08326
516,0.0763,-0.029229999999999978,0.63615,0.66538,0.07623,0.08505
74,0.08078,-0.02200000000000002,0.73,0.752,0.07,0.05214
89,0.09258,0.018839999999999968,0.72232,0.70348,0.053,0.05674
498,0.10053,0.014120000000000021,0.60373,0.58961,0.04485,0.03927
427,0.10334,-0.03734000000000004,0.50533,0.54267,0.10249,0.12148
62,0.10671,-0.03133000000000008,0.52267,0.554,0.09602,0.09449
101,0.12171,0.024110000000000076,0.55176,0.52765,0.06999,0.08244
150,0.1229,-0.019480000000000053,0.60263,0.62211,0.06451,0.05926
39,0.13321,-0.022850000000000037,0.55929,0.58214,0.08069,0.06823
69,0.1353,0.028799999999999937,0.5384,0.5096,0.0836,0.10456
120,0.15261,-0.020000000000000018,0.78348,0.80348,0.07037,0.06693
134,0.18059,0.020870000000000055,0.60696,0.58609,0.08429,0.06805
268,0.19117,0.016660000000000008,0.57133,0.55467,0.06667,0.05841
42,0.20834,0.02173999999999998,0.54,0.51826,0.08786,0.08196
90,0.22313,0.01686999999999994,0.61125,0.59438,0.07266,0.06327
22,0.22548,-0.011929999999999996,0.75018,0.76211,0.04944,0.04736
127,0.23163,0.033849999999999936,0.57385,0.54,0.10682,0.16533
27,0.24864,-0.020830000000000015,0.53167,0.5525,0.08802,0.08968
99,0.24879,0.006820000000000048,0.70955,0.70273,0.02933,0.02885
238,0.25176,-0.010709999999999997,0.60929,0.62,0.04633,0.04566
59,0.26448,0.01261000000000001,0.60087,0.58826,0.05321,0.05791
23,0.26649,-0.009820000000000051,0.72,0.72982,0.04628,0.04049
45,0.27452,-0.010000000000000009,0.69789,0.70789,0.04227,0.04766
111,0.27511,-0.013889999999999958,0.83611,0.85,0.06603,0.05906
11,0.31805,-0.007739999999999969,0.6886,0.69634,0.04029,0.03596
222,0.35848,-0.005839999999999956,0.64883,0.65467,0.03167,0.03092
105,0.44024,0.010379999999999945,0.57192,0.56154,0.05931,0.07267
58,0.44893,0.009449999999999958,0.65667,0.64722,0.05204,0.06967
16,0.45568,0.007460000000000022,0.67051,0.66305,0.04891,0.04966
38,0.48447,-0.012169999999999903,0.56,0.57217,0.08324,0.08841
202,0.48945,-0.0051800000000000734,0.56778,0.57296,0.04038,0.03326
102,0.50407,-0.008340000000000014,0.65583,0.66417,0.06472,0.05813
78,0.55177,0.011310000000000042,0.68696,0.67565,0.08739,0.09961
54,0.62604,-0.007429999999999937,0.60057,0.608,0.07887,0.07138
19,0.6449,0.003329999999999944,0.73039,0.72706,0.03536,0.03601
28,0.66894,-0.006249999999999978,0.63188,0.63813,0.08156,0.06127
5,0.70276,-0.0034000000000000696,0.75962,0.76302,0.04008,0.04746
32,0.73908,-0.005600000000000049,0.6584,0.664,0.08474,0.08119
429,0.74425,-0.005219999999999891,0.56261,0.56783,0.08314,0.0745
55,0.76019,-0.0035800000000000276,0.66071,0.66429,0.05416,0.06113
157,0.77253,-0.0016699999999999493,0.68378,0.68545,0.02802,0.02929
1,0.78302,-0.0037599999999999856,0.64312,0.64688,0.07018,0.06412
80,0.79401,-0.00387000000000004,0.69161,0.69548,0.08062,0.06489
85,0.86915,-0.0040000000000000036,0.47733,0.48133,0.12533,0.11415
21,0.8965,-0.0007399999999999629,0.79776,0.7985,0.02802,0.02872
161,0.90198,0.0017599999999999838,0.63529,0.63353,0.07371,0.06764
4,0.90698,-0.0014699999999999713,0.58341,0.58488,0.06913,0.05355
84,0.96818,0.00036000000000002697,0.70109,0.70073,0.04381,0.04617
86,1.0,0.0,0.79791,0.79791,0.04007,0.04007
75,1.0,0.0,0.74676,0.74676,0.0439,0.0439
17,1.0,0.0,0.78177,0.78177,0.03877,0.03877
