championId,p_val,mean_diff,mean_svm,mean_rand,std_svm,std_rand
420,0.00772,-0.02947999999999995,0.73684,0.76632,0.05717,0.04983
38,0.00935,0.04869000000000001,0.59478,0.54609,0.0775,0.10258
164,0.01326,0.026029999999999998,0.63509,0.60906,0.05305,0.04906
48,0.01354,-0.03793000000000002,0.61931,0.65724,0.07133,0.07785
127,0.01684,0.06308000000000002,0.59385,0.53077,0.12312,0.13346
29,0.01735,0.02294000000000007,0.67588,0.65294,0.04724,0.0466
23,0.01918,0.022189999999999932,0.72764,0.70545,0.04912,0.04287
37,0.02269,-0.024209999999999954,0.66632,0.69053,0.05441,0.04897
150,0.02312,-0.03158000000000005,0.59842,0.63,0.07346,0.06147
83,0.02716,-0.03499999999999992,0.69286,0.72786,0.0766,0.07788
21,0.03744,0.01252999999999993,0.8129,0.80037,0.02807,0.03064
157,0.04586,0.012310000000000043,0.69077,0.67846,0.03172,0.02844
62,0.04654,0.028000000000000025,0.59067,0.56267,0.06635,0.07107
238,0.05372,0.016900000000000026,0.63452,0.61762,0.04462,0.04101
31,0.05996,-0.020930000000000004,0.67349,0.69442,0.05638,0.05242
30,0.06667,0.039999999999999925,0.58,0.54,0.11587,0.09679
91,0.07219,0.022700000000000053,0.72811,0.70541,0.0598,0.06379
223,0.07535,0.017730000000000024,0.71811,0.70038,0.05275,0.04459
32,0.09212,-0.02960000000000007,0.6376,0.6672,0.07936,0.09241
11,0.1047,0.015700000000000047,0.70989,0.69419,0.0499,0.04486
122,0.10701,0.014859999999999984,0.59432,0.57946,0.04387,0.04655
102,0.12069,-0.01749999999999996,0.66,0.6775,0.06284,0.04663
45,0.18212,0.012369999999999992,0.71711,0.70474,0.04413,0.04694
266,0.18564,0.021599999999999953,0.6184,0.5968,0.0764,0.08384
80,0.20839,-0.01548000000000005,0.71226,0.72774,0.06081,0.06023
1,0.20859,-0.01623999999999992,0.62438,0.64062,0.0686,0.05804
54,0.26616,0.016000000000000014,0.64457,0.62857,0.07388,0.06761
33,0.27695,-0.01687000000000005,0.69438,0.71125,0.08156,0.07087
10,0.29156,-0.023329999999999962,0.59111,0.61444,0.10816,0.10966
5,0.3514,0.008680000000000021,0.76302,0.75434,0.04593,0.04583
427,0.35746,-0.02132999999999996,0.532,0.55333,0.10954,0.1187
55,0.41526,0.009649999999999936,0.66036,0.65071,0.05607,0.06052
82,0.42729,0.015560000000000018,0.60556,0.59,0.10672,0.08527
20,0.46697,-0.014539999999999997,0.44273,0.45727,0.10278,0.09422
78,0.48633,0.013050000000000006,0.68522,0.67217,0.09744,0.08705
131,0.5059,-0.008099999999999996,0.64857,0.65667,0.06504,0.05452
22,0.56738,0.004910000000000081,0.77895,0.77404,0.04297,0.04176
27,0.57494,-0.010000000000000009,0.56917,0.57917,0.08564,0.09024
120,0.61367,-0.006950000000000012,0.7887,0.79565,0.06271,0.07288
74,0.68144,-0.0053399999999999,0.74533,0.75067,0.06101,0.06708
17,0.68936,-0.0030399999999999316,0.76861,0.77165,0.03536,0.03954
36,0.75416,0.0037999999999999146,0.8219,0.8181,0.06084,0.05924
134,0.7875,0.005220000000000002,0.57913,0.57391,0.08406,0.10579
516,0.81266,0.0038400000000000656,0.66846,0.66462,0.07916,0.08106
86,0.94744,-0.0006000000000000449,0.78955,0.79015,0.0441,0.04531
254,0.96905,0.0004999999999999449,0.6445,0.644,0.06676,0.06032
75,0.97434,-0.00026999999999999247,0.75081,0.75108,0.04309,0.03982
